abr,intent,definition,positive example 1,positive example 2,positive example 3,positive example 4,positive example 5
l,Réflexion,"Le thérapeute transmet sa compréhension de ce que le patient dit ou ressent, sans juger, interpréter ou conseiller.","Contexte : Patient : Ouais. Thérapeute : Donc si vous n'étiez pas physiquement là, comme avec votre colocataire dans cet appartement ? Patient : Ouais, comme si j'étais, oh mon Dieu, en train de vivre à nouveau chez mes parents ou même avec quelqu'un d'autre, je suppose. Oh mon Dieu, déménager ? Quelle galère mais c'est bien là le problème. C'est juste là. C'est accessible. \n Déclaration du thérapeute : Donc, vous avez l'air de reconnaître que vous n'avez peut-être pas la volonté d'arrêter de prendre le médicament alors qu'il est juste là, sous vos yeux.","Contexte : Patient : Comme 0 1 Je ne peux pas. J'ai essayé. Thérapeute : Donc très peu de confiance, non vraiment aucune confiance. Vous n'avez pas confiance. Vous n'avez pas confiance en vous que vous pouvez changer et il est très important pour vous que vous changiez. Donc c'est un vrai lien avec la tendance. Patient : Ouais, c'est assez déprimant. \n Déclaration du thérapeute : Vous avez mentionné qu'une des raisons pour lesquelles votre confiance est faible est que vous avez essayé au cours des six derniers mois et que vous n'avez pas réussi à arrêter la prise de Percocet.","Contexte : Patient : Oui, il devient un homme maintenant aussi. Il a besoin d'avoir le choix de ce qu'il peut faire pour assurer la sécurité de sa famille. Thérapeute : Oui. Et alors qu'il devient un homme et qu'il réfléchit à la façon de vous protéger, vous vous souciez aussi vraiment de le protéger et de le garder en sécurité. Et je vous ai entendu identifier quelques choses que vous envisagez de faire ou que vous aimeriez faire. Et des choses sur lesquelles vous sentez que vous avez réellement le contrôle. La dernière fois que nous vous avons parlé, vous avez été très claire sur le fait que vous ne pouvez pas contrôler Paul, lorsqu'il est dans sa peur, sa rage et qu'il est violent. Et ce que je vous ai entendu dire très clairement, c'est que vous voulez comprendre ce que vous pouvez contrôler. Vous ne pouvez pas le contrôler, mais il y a certaines choses sur lesquelles vous avez le contrôle et en particulier pour vous, cela consiste peut-être à parler à une personne de confiance, votre pasteur. Patient : Oui. \n Déclaration du thérapeute : Et avoir cette conversation pour voir si cela pourrait être une personne sûre vers qui se tourner, et puis les autres éléments peuvent être d'avoir une conversation avec votre enfant le plus âgé, au moins sur qui appeler sur le moment.",,
qi,Demander des informations,"Le thérapeute recherche des détails supplémentaires sur un événement, une déclaration ou un contexte particulier qui s’est produit.","Contexte : Patient : c'est plutôt mauvais, comme si c'était comme un dernier avis écrit, donc si la moindre petite chose à ce stade pouvait me faire perdre mon travail, mais je ne m'en inquiète pas trop, car à ce stade, je consacre tellement de temps à l'entreprise de boulangerie que si quelque chose se passe mal avec mon travail de bureau, comme si j'avais ceci dans... Je suis sûr que dans un mois à peine, je gagnerai bientôt de l'argent. Et beaucoup d'argent, car je sais combien de temps je vais y consacrer, à quel point j'y suis passionné. Et je sais que je pourrai récupérer l'argent que j'y ai investi. Donc je ne m'en inquiète pas. Thérapeute : je ne devrais pas avoir à m'inquiéter à ce sujet. Patient : Ouais. \n Déclaration du thérapeute : Des problèmes de santé, vous savez, une drogue et de l'alcool que vous économisez, c'est quelque chose comme ça ?","Contexte : Thérapeute : bien sûr, vous comprenez que vous avez eu certains symptômes qui vous ont dérangé, mais pouvez-vous me dire ce qui se passe selon vous ? Patient : Oui, je me sens vraiment déprimé et je pense que je suis peut-être déprimé. Thérapeute : Vous pensez que vous êtes peut-être déprimé ? \n Déclaration du thérapeute : Avez-vous déjà ressenti cela dans le passé ?","Contexte : Thérapeute : Je veux vous remercier de continuer à participer à cet entretien ? Comme je l'ai mentionné, je souhaite passer à une nouvelle section. Celle-ci concerne vos relations sociales. Acceptez-vous de répondre à quelques questions sur vos relations sociales ? Patient : Oui, pourquoi pas ? \n Déclaration du thérapeute : D'accord. Parlez-moi de vos amis.",,
qper,Invitation à Shift Outlook,Le thérapeute présente une nouvelle perspective au patient ou l’invite à imaginer sa réponse à une situation.,"Contexte : Thérapeute : tu pourrais tout aussi bien continuer à boire maintenant, parce que tu as un peu tout gâché. Patient : J'ai déjà fait une erreur, je pourrais tout aussi bien continuer. Thérapeute : D'accord. \n Déclaration du thérapeute : Et vous avez eu trois semaines, nous n'avions pas bu un verre avant cela. Alors regardons ça. Essayons de séparer un peu le comportement du soi. Si vous aviez un ami qui était dans la même situation, n'est-ce pas, vous aviez des antécédents de consommation d'alcool et puis au bout de trois semaines, sans aucune consommation d'alcool, et puis son comportement était de boire un verre. Que penseriez-vous de lui ?","Contexte : Patient : Oui, Thérapeute : la honte correspond au comportement, et le comportement correspond à la honte. Comme si c'était là à ce moment-là. Mm hmm. Mais vraiment, logiquement, rationnellement, vous êtes vous, Ryan, votre identité, vos valeurs et votre comportement, quelque chose que vous faites. Thérapeute : Mais sur le moment, c'est difficile pour vous de voir ça. \n Déclaration du thérapeute : Mm hmm. En y repensant maintenant, êtes-vous capable de voir la distinction entre ce que les gens font et ce qu'ils sont ?","Contexte : Patient : Oui, oui, c'est difficile de penser à moi quand j'ai tant d'autres choses à gérer qui sont bien plus importantes que moi. Thérapeute : Comment vont vos enfants ? Patient : Ils vont bien, vous savez, les petits étaient assez stressés quand je suis rentrée à la maison et ils n'étaient pas très sûrs d'eux-mêmes et de ce qui allait se passer, mais plus ils grandissent, plus les enfants plus âgés m'ont aidé. Je pense donc qu'ils se ressaisissent.\n Déclaration du thérapeute : Imaginez qu'il y ait une période de réajustement, de guérison et de tristesse ou comme dans On dirait qu'ils essaient juste de faire avancer les choses.","Contexte : Patient : Ouais. Thérapeute : Cette fois, il faut d'abord que tu te tires d'affaire. Patient : Ouais. \n Déclaration du thérapeute : Donc, si tu pouvais faire disparaître la douleur et l'anxiété sans consommer d'alcool ou de marijuana, est-ce que tu continuerais à en consommer ?",
qe,Posez des questions sur vos émotions actuelles,"Le thérapeute invite le patient à reconnaître et à évaluer ses émotions actuelles, notamment en identifiant l’émotion spécifique et en évaluant son intensité.","Contexte : Patient : Eh bien, le fait de tirer à pleine puissance est toujours plus agréable, car si je m'en prends à quelqu'un avec toute ma force et que je le frappe à la tête, et que je lui fonce dessus, même s'il se détourne, cela n'a pas vraiment d'importance. Parce que j'ai déjà envoyé mon visage et donc quand je dis, mais si je ne dis rien, je reste assis et ne fais rien, alors cela me met aussi en colère que si j'avais tiré à pleine puissance. Donc, cela me ronge, mais cela me ronge ici et je suis encore plus en colère que si je me contentais de tout dire et de tout sortir. Thérapeute : C'est vrai. Ouais, je peux imaginer que si vous finissez par, vous savez, au moins si vous y allez avec les deux armes à feu, il y a une façon dont vous pouvez vous sentir bien dans votre peau d'une certaine manière, même si vos besoins ne sont pas satisfaits. C'est vrai. Mais d'une certaine manière, ils cèdent, c'est comme si vous donniez une partie de vous-même d'une certaine manière. Donc, je veux dire, vous savez, il me semble que le dilemme est que vous n'avez aucun bon moyen de satisfaire vos besoins en ce moment, n'est-ce pas. Vous avez désespérément besoin de quelque chose de bien, mais d'un terrain d'entente. Il n'y a pas de terrain d'entente. Ok. Donc, vous savez, je ne suis pas sûr de savoir exactement quel est ce terrain d'entente en ce moment. Mais je suis prêt à travailler avec vous pour, vous savez, vraiment travailler à découvrir quel est ce terrain d'entente. Est-ce que cela vous semble utile ? Patient : Je dois trouver un terrain d'entente. \n Déclaration du thérapeute : Ok, mais que ressentez-vous en ce moment ?","Contexte : Patient : ok. Ouais, vraiment, c'était vraiment dur. Parlez de ça. Thérapeute : comprenez parfaitement pourquoi les choses sont vraiment, vraiment difficiles. Et ce genre de conversations avec un endroit en ville peut être très stressant pour vous. Ouais. Je comprends Ouais. Alors peut-être qu'un sentiment maintenant, où vous êtes ? Ouais. Ok, alors peut-être que vous voulez juste continuer à parler. Rappelez-vous juste que nous sommes connectés. Ok. Et vous êtes ici avec moi. Ouais. Ouais. Alors dites-m'en un peu plus. Alors votre mère est venue, à la déclaration ? Patient : Oh, oui. Donc euh, donc maman était avec moi. Ouais. Ils sont venus. Et c'étaient deux détectives. Ouais. Et ils, ouais, ils voulaient juste tout savoir et ça a pris des heures. \n Déclaration du thérapeute : Et comment vous sentez-vous maintenant après avoir tout fait ?","Contexte : Patient : Je sais que c'est inconfortable. Parce que c'est nul comme si cette thérapie ne menait à rien. Comme si on ne faisait rien. Donc oui, c'est inconfortable d'en parler parce que c'est comme si je ne savais pas. Thérapeute : J'ai l'impression que vous essayez de dire quelque chose et que vous avez presque abandonné. Patient : Eh bien, ce dont j'essaie de parler et je ne sais pas ce que vous voulez que je fasse d'autre. Je vous ai dit que je n'allais pas bien. Je retire quelque chose de la thérapie. J'ai l'impression d'être très claire, mais je suppose que ce n'est pas le cas. \n Déclaration du thérapeute : Êtes-vous en colère contre moi ?","Contexte : Patient : Je suppose qu'une fois que nous nous sommes mariés, nous avons eu l'impression de passer tout notre temps ensemble, ce qui, au début, était génial parce que nous sommes de jeunes mariés, nous aimons passer du temps ensemble et tout, mais je suppose que six mois à un an après notre premier mariage, nous avons progressé au point où, maintenant, c'est devenu comme un fardeau, quoi que je fasse, elle est toujours là avec moi. Nous passons toujours chaque moment éveillé ensemble et parfois, c'est juste agréable d'avoir mon propre espace personnel, c'est la liberté, vous savez. Thérapeute : Vous recherchez donc cette liberté. Sarah, cela résonne en vous ? Thérapeute : Pouvez-vous lui dire ça ? \n Déclaration du thérapeute : Alors Frank, comment c'est d'entendre ça ?",
ps,Donner la solution,"Le thérapeute fournit des solutions directes pour résoudre les problèmes du patient, en s'engageant activement dans la résolution des problèmes.","Contexte : Patient : D'accord. Thérapeute : D'accord. Très bien. Y a-t-il autre chose que vous pensez qu'il serait important que je sache ? Patient : Comment me conseilleriez-vous pour que mes amis arrêtent de boire ? \n Déclaration du thérapeute : Oh, c'est une excellente question. Souvent, les enfants qui essaient de réduire leur consommation ont plus de mal si leurs amis continuent de boire. Et l'une des choses les plus faciles est d'essayer d'avoir plus d'activités qui n'impliquent pas d'alcool. Mais bien sûr, c'est plus difficile si vous ne faites pas de planification. Certaines des choses qui peuvent être utiles si vous êtes à une fête, par exemple, et qu'il y a déjà de l'alcool, et qu'il y a d'autres enfants qui ne sont peut-être pas vos amis les plus proches. Certaines des choses que je recommanderais, puisque cela vous intéresse, sont de transporter différentes boissons qui semblent contenir de l'alcool. Donc, vous savez, même transporter une bouteille de bière vide ou une canette de bière ou, vous savez, si les gens boivent un cocktail, juste du coca, par exemple sans aucun alcool mélangé dedans. Souvent, le fait d'avoir quelque chose dans la main constitue une bonne barrière pour les gens qui essaient de vous proposer de l'alcool, car vous avez déjà quelque chose. Cela les empêche en quelque sorte d'essayer de fourrer quelque chose d'autre dans la bouteille. Pensez-vous que l'une de ces choses pourrait fonctionner pour vous ?","Contexte : Patient : Uh huh. Thérapeute : Donc ce plan présente certains inconvénients, mais aussi certains avantages. Et il y a un avantage clé à être considéré comme restreint. Patient : Ouais. Et ce ne serait pas forcément pour le reste de ma vie non plus. Juste pour l'instant, juste pour me sortir de cet appartement avec la drogue. N'est-ce pas ? \n Déclaration du thérapeute : Cela vous séparerait de la drogue et vous pourriez potentiellement déménager plus tard","Contexte : Patient : J'aimerais que cela arrive. Thérapeute : d'accord, mais ça n'arrivera pas ? Patient : Je peux juste vous dire que je ne veux même pas faire semblant. \n Déclaration du thérapeute : Alors vous en êtes sûr. Que diriez-vous de « allons-y », par exemple avec les Skittles. Et si j'introduisais l'idée d'arrêter la consommation de Skittles ?",,
p,Planifier avec le patient,Le thérapeute collabore avec le patient pour élaborer un plan d’action concret.,"Contexte : Peut-être 15 minutes, Thérapeute : pas de compromis. 15 Ok, pensez-vous que vous pourriez maintenir 15 minutes en pesant 15 ? Patient : Je pense que je pourrais essayer un peu plus que 20. \n Déclaration du thérapeute : Très bien, alors allons-y avec 15 minutes, d'accord. Donc 15 minutes, vous savez, par rapport à 10. Je vais vous donner cinq minutes supplémentaires pendant lesquelles quelque chose pourrait se produire qui pourrait vous distraire. Et vous n'utiliseriez pas ce moment, n'est-ce pas. Il y a aussi, vous savez, pour utiliser ce temps de manière constructive, vous pourriez envisager des alternatives comme, comme vous l'avez mentionné, marcher. Vous pourriez utiliser ce temps et commencer à marcher. Ouais. Autre chose que vous aimeriez, peut-être dans le passé à l'occasion où vous vouliez consommer de la marijuana, mais elle n'avait rien de disponible ? Que feriez-vous à la place ?","Contexte : Patient : Je pense que j'en ai besoin. Ouais. Thérapeute : Alors, j'aimerais faire au début, c'est en quelque sorte établir un plan pour notre réunion d'aujourd'hui, d'accord. Et nous pouvons nous éloigner de cette plante si nécessaire, mais j'aime juste commencer par cela, et nous donner une structure à ce que nous allons faire. Donc, tout d'abord, et c'est quelque chose que je veux co-créer avec vous, n'est-ce pas ? Votre contribution est extrêmement précieuse. Je ne veux pas juste l'exposer et que nous le suivions. Je veux que vous participiez activement à l'élaboration de tout cela. Alors, lorsque je lance des idées, dites-moi si c'est quelque chose qui a du sens pour vous ou non. D'accord ? J'aimerais commencer par vous demander d'expliquer en profondeur ce que vous vivez au travail. Je sais que cela vous trouble et je veux entendre cette histoire. Ensuite, vous allez chercher des schémas dans votre façon de penser et voir s'il y a quelque chose que j'ai reconnu, tout ce que je peux souligner, qui pourrait vous aider un peu. Et nous y reviendrons plus tard. Et puis, en quelque sorte, alors que nous terminons vers la fin, peut-être commencer à avoir des idées de choses que vous pouvez faire entre les séances d'ici la prochaine fois et qui peuvent vous aider à combattre ces symptômes et à vous sentir mieux. Ok. Cela vous semble-t-il un programme assez simple ? Des changements ou quelque chose que vous aimeriez y apporter ? Patient : Non, je pense que tant que vous pensez que je peux raconter toute mon histoire en suffisamment de temps. Déclaration du thérapeute : Nous verrons. Ok. Donc, vous savez, dites-moi simplement ce qui se passe comme vous vous sentez à l'aise. Et ne vous inquiétez pas de l'ordre du jour. Ok. Sachez simplement que dans l'ensemble, c'est ce à quoi je pense pour la structure. Ok. Et puis, vous savez, alors que nous terminons, nous fixerons un rendez-vous la prochaine fois et, comme je l'ai dit, nous finirons avec quelques idées, j'espère qu'elles pourront vous aider. Alors commençons par, vous savez, votre expérience avec tout cela. Alors, parle-moi de ton, de ton travail.","Contexte : Patient : J'aimerais m'assurer que, vous savez, en termes de respect de moi-même, de mon corps, j'aimerais, vous savez, essayer de boire moins, d'accord, comme un, vous savez, c'est agréable de se lâcher et de s'amuser, mais j'aimerais aussi que ce soit ainsi, vous savez, je n'abîme pas mon corps et que mon foie ne fonctionne plus à l'âge de 22 ans. Et, vous savez, avoir mes amis à bord avec une mentalité similaire pour que nous puissions y travailler ensemble en tant que groupe, en tant que communauté. Thérapeute : Uh huh. Donc en quelque sorte des objectifs combinés. Patient : Oui \n Déclaration du thérapeute : Ok. Donc vous avez un objectif. Il semble que ce soit en fait de réduire votre consommation d'alcool. Dans quelle mesure est-il important pour vous de travailler sur cet objectif sur une échelle de 1 à 10 ? Où 1 n'est pas du tout important. Et 10 est la chose la plus importante en ce moment.",,
n,Expérience de normalisation et de réconfort,"Le thérapeute rassure le patient en normalisant son expérience, en soulignant que d’autres ont été confrontés à des situations similaires, en favorisant un sentiment de communauté et de réconfort.","Contexte : Thérapeute : Tu ferais mieux de ne pas continuer à boire maintenant, parce que tu as un peu tout gâché. Patient : J'ai déjà fait une erreur, je ferais mieux de continuer. Thérapeute : D'accord. \n Déclaration du thérapeute : Et c'est un cycle dans lequel on tombe souvent.","Contexte : Patient : Euh, non. Tout me semble aller bien. Ouais. Thérapeute : Ouais. D'accord. Donc si ça ne vous dérange pas de simplement apposer votre signature en bas. Merci. Patient : Je ne l'ai pas fait, je me sens un peu nerveux. \n Déclaration du thérapeute : Ouais, je peux comprendre que cela puisse être un peu confrontant et effrayant la première fois que vous venez. Ouais.","Contexte : Patient : Oh, oui. Donc, euh, donc maman était avec moi. Ouais. Ils sont venus. Et c'étaient deux détectives. Ouais. Et ils, ouais, ils voulaient juste tout savoir et ça a pris des heures. Thérapeute : Et comment te sens-tu maintenant que tu as tout fait ? Patient : Genre, je suis content que ce soit fini. Je n'avais pas réalisé à quel point ce serait difficile d'en parler. Ouais, ouais. Pour une raison quelconque, je pensais que c'était le cas. C'était fini et fini sans. Ouais. Ok, maintenant \n Déclaration du thérapeute : c'était vraiment compréhensible. C'est tout à fait, vous savez, compréhensible que parfois il soit difficile de parler. Et parfois on peut se permettre de revivre des moments difficiles. Ouais. Alors on continue à parler. Je continuerais à parler comme ça",,
g,Éducation et orientation médicale,Le thérapeute fournit au patient des informations psychologiques ou médicales pertinentes pour améliorer la compréhension et faciliter le traitement.,"Contexte : Patient : Ouais. Thérapeute : Ok, intéressant. Alors, savez-vous tout ce qu'il y a de mauvais dans l'alcool ? Patient : Oh, ouais. Ouais. \n Déclaration du thérapeute : Ok. Donc, l'une des choses dont vous savez qu'il est vraiment important de parler aux adolescents, c'est l'alcool au volant. Donc, vous savez, c'est en fait un très gros problème. Et même ici, nous avons des enfants qui meurent chaque année dans un accident de conduite en état d'ivresse. C'est donc quelque chose que vous devez vraiment vous assurer de ne pas faire. Très bien. Avez-vous déjà fait ça ? Avez-vous déjà...","Contexte : Patient : Euh, hum, je n'ai jamais fait ça auparavant. Thérapeute : Eh bien, pourquoi ne m'expliquez-vous pas un peu ce qui vous amène ici aujourd'hui ? Patient : Je ne suis même pas sûr d'avoir entendu parler de cet endroit et du fait que vous travaillez avec des femmes qui ont des problèmes dans leur relation et qui sont confuses. J'ai donc pensé vous appeler. Je vous remercie donc beaucoup d'avoir pris le temps de me voir. \n Déclaration du thérapeute : Vous avez donc entendu parler un peu du programme ici. Cela vous aiderait-il si je vous expliquais un peu quel pourrait être mon rôle aujourd'hui ?","Contexte : Patient : Ok. Thérapeute : Alors, j'ai parlé à Victor, il m'a dit qu'il avait moins d'intérêt pour certaines choses. Il a du mal à dormir. Et il se sent triste tout le temps. Et il semble qu'il souffre de ce que nous appelons une dépression majeure. Il y a quelques traitements dont je veux parler, vous savez quels médicaments prend Victor ? Patient : Oui, donc j'ai pensé à cela parce qu'il y en a un certain nombre. Ok, certainement. \n Déclaration du thérapeute : Merci. Ok, donc sur cette liste, il est dit quelles maladies médicales il a eues, ainsi que des hospitalisations et des opérations chirurgicales. Il y a donc quelques traitements pour la dépression. L'un est la médication et l'autre consiste également à faire des interventions au sein de l'école et de la famille. Et il y a beaucoup de choses auxquelles penser, mais il semble que les choses ne se passent vraiment pas bien à l'école. Et cela a grandement contribué à sa tristesse.","Contexte : Patient : Oui. Je n'en veux plus. Thérapeute : D'accord. Et donc vous avez une insuffisance cardiaque congestive, et il semble que vous ayez un problème respiratoire. Oui. Et savez-vous pourquoi ils auraient posé le tube. Savez-vous ce qu'ils essayaient de faire ? Patient : Je suppose que c'était parce que je manquais d'air. J'avais du mal à respirer, n'est-ce pas ? Alors ils ont essayé de, genre, je vais utiliser le mot ""sauver-moi"". \n Déclaration du thérapeute : Je veux dire, généralement, nous ne mettons qu'un tube. Si c'était la seule chose que nous pouvions faire pour vous sauver. La plupart du temps, en cas d'insuffisance cardiaque congestive, nous vous administrerons des médicaments. Avez-vous entendu parler du lasix ? Ou du furosémide ? Non, d'accord. C'est un médicament que l'on administre souvent si quelqu'un souffre d'insuffisance cardiaque, mais si quelqu'un est vraiment malade et que nous ne pensons pas avoir le temps de le lui administrer, c'est le moment où nous penserions à un tube respiratoire. je n'ai pas eu l'occasion de regarder le dossier, mais il me semble que vous étiez sur le point de mourir lorsque vous êtes arrivé.",
gt,Salutation ou clôture,Le thérapeute initie ou conclut la conversation par une salutation ou une déclaration de clôture.,"Contexte : Propos du thérapeute : Bonjour Kathy, comment allez-vous aujourd'hui ?","Contexte : Patient : D'accord. Thérapeute : Complétez cela avant de vous revoir. Patient : D'accord. Merci, docteur. Merci de m'avoir reçu. \n Déclaration du thérapeute : D'accord, à la prochaine.","Contexte : Thérapeute : Bienvenue, Kayla. Patient : Merci. \n Déclaration du thérapeute : Merci d'être venu aujourd'hui.",,
accusé de réception,Canal arrière,Le thérapeute reconnaît qu'il a entendu les paroles du patient en intervenant avec une brève réponse ou un accusé de réception ou en répétant exactement ce que le patient a dit.,"Contexte : Patient : angoissant Je suppose que c'est ce que je fais. J'ai l'impression que je n'ai fait qu'espérer et souhaiter et il semble que toute mon attention soit toujours centrée sur le fait que lorsque le bébé pleure et que je m'inquiète pour lui et et et donc le bébé pleure c'est juste... c'est dur, mais si juste maintenant en parler laisser tomber l'inquiétude à ce sujet me donne une sensation de libération de pouvoir réellement réfléchir à la raison pour laquelle le bébé pleure plutôt qu'à pourquoi ne répond-il pas à mes appels ? ou pourquoi m'a-t-il lancé ce regard, quand vous savez, je parle de trouver un travail et des choses comme ça, ce n'est pas si intéressant. Thérapeute : Donc vous réalisez à quel point il faut vraiment se concentrer sur le bébé. Et être capable de le faire et c'est comme si c'était difficile de faire les deux. C'est difficile de vraiment penser à faire les deux. Patient : J'ai besoin de son aide pour ça. Ouais, je n'ai pas besoin de m'inquiéter pour lui non plus. \n Déclaration du thérapeute : Hmm","Contexte : Patient : Mm hmm. Thérapeute : Pour votre bien-être et celui de vos enfants ? Patient : Je crois que j'ai surtout peur. Vous savez que quelque chose pourrait arriver qui serait vraiment fou et vraiment hors de contrôle. Et donc j'ai réfléchi au genre de choses que je pourrais faire si les choses devenaient folles et hors de contrôle. Et j'ai pensé à peut-être en parler à quelqu'un ou à en parler à mon pasteur, ça m'est venu à l'esprit parce que c'est quelqu'un à qui nous avons déjà parlé. \n Déclaration du thérapeute : D'accord.","Contexte : Patient : Ok. Très bien. Thérapeute : Je vais donc vous demander de vous lever et de faire semblant de frapper aux portes, c'est ce que vous faites. Oui, oui. Très bien. Je veux donc que vous sortiez et que vous fassiez ça, puis que vous reveniez comme si vous deviez voir votre patron et que le patron me dise quoi faire. Patient : jouer le rôle. \n Déclaration du thérapeute : ouais",,
