abr,intent,definition,positive example 1,positive example 2,positive example 3,positive example 4,positive example 5
r,Reflection,"The therapist conveys his understanding of what the patient is saying or feeling, without judging, interpreting, or advising","Context: Patient: Yeah. Therapist: So if you physically weren't there, like with your roommate in that apartment? Patient: Yeah, like if I was oh my god living at home with my parents again or even living with somebody else, I guess. Oh my god, move ? What a hassle but that's I mean, that's the problem. It's just there. It's it's accessible. \n Therapist's Utterance: So you're kind of it sounds like you're recognizing that, maybe you don't have the willpower to stop taking the drug when it's right there in front of you.","Context: Patient: Like 0   1 I can't. I've been trying. Therapist: So very low confidence, nope really no confidence. You have no confidence. You have no confidence that you can change and it's very important to you that you do change. So this is a real bind the trend.  Patient: Yeah, it's pretty depressing. \n Therapist's Utterance: You mentioned that one of the reasons your confidence is low is because you tried over the last six months and working with me and you've not been successful at stopping the Percocet use.", " "," "," "
qi,Ask for Information,"The therapist seeks further details about a particular event, statement, or background that occurred.","Context: Patient: pretty bad like I it was like a final written notice so if any little thing at this point could make me lose my job but I'm not too worried about it because at this point I'm putting so much time into the baking business that if something goes wrong with my like office job, like I'll have this like in I'm sure that in as short as a month like I'll, I'll be making money soon. And a lot of money because I know how much time I'm going to be putting into this how passionate I am about it. And I know that like I'll be able to make the money back that I've put into it. So I'm not worried about it Therapist: shouldn't have to worry about that. Patient: Yeah. \n Therapist's Utterance: Any medical conditions, you know, have a drug and alcohol you're saving is anything like that? ","Context: Therapist: sure you understand you've been having some symptoms which have been bothering you, but can you tell me what you think's going on? Patient: Yeah, I've been feeling really low and I think I might be depressed.  Therapist: You think you might be depressed? \n Therapist's Utterance: Have you ever felt this way in the past?"," "," "," "
qper,Invite to Shift Outlook,"The therapist presents a fresh outlook to the patient or prompts him to imagine their response to a situation.","Context: Therapist: don't might as well just just continue drinking now, because you kind of blew it. Patient: I already messed up, I might as well keep going.  Therapist: Okay. \n Therapist's Utterance: And you had three weeks, we hadn't had a drink prior to that. So let's, let's look at this. Let's try to separate the behavior from the self a little bit. If you had if you had a friend who was in the same predicament, right, you had a history of using alcohol and then at three weeks, without any alcohol use, and then their behavior was to have a drink. What would you think of them? ","Context: Patient: Yes,  Therapist: the shame matches the behavior to behavior matches shame. Like it's there one at that moment. Mm hmm. But really, logically, rationally, you're you, Ryan, your identity and values and your behavior, something you do. Therapist: But in the moment, it's hard for you to see that. \n Therapist's Utterance: Mm hmm. Looking back on it now is are you able to see the distinction between what people do and what they are? "," "," "," "
qe,Ask about current Emotions,"The therapist prompts the patient to recognize and evaluate their current emotions, including identifying the specific emotion and assessing its intensity.","Context: Patient: Well, the bulk guns blazing always feels better because if I go at somebody with with, you know, full force and, you know, hit them over the head, you know, and just and just go at them. Even if they turn away, it doesn't really matter. Because I've already sent my face and so when I say, but if I don't say anything, I just sit back and don't do anything, then it just gets me as angry as the full guns blazing. So it just they eats me up, but it eats me up in here and I get even angrier than if I just blurt it all out and get it all out. Therapist: Right. Yeah, I can imagine that right that right, if you end up you know, at least if you're going in there with with both guns blazing, there's a way in which you can kind of feel okay about yourself in some way, even though you're not getting your needs met. Right. But somehow they're, you know, sort of giving in, it's like you're giving away part of yourself in some way. So, I mean, you know, it seems to me that the you know, the dilemma is that you have no good way of getting your needs met right now, right. You sort of desperately need Something right, but a middle ground. There's no middle ground. Okay. So, you know, I'm not sure exactly what that middle ground is right now. But I'm willing to work with you to, you know, to really work on discovering what that middle ground is. Does that does that seem worthwhile? Patient: I have to have to find a middle ground. \n Therapist's Utterance: Okay, but what are you feeling right now?","Context: Patient: okay. Yeah, really, it was really hard. Talk about that stuff. Therapist: completely understand why things are really, really tough moment. And that sort of conversations with a place in town could be very stressful for you. Yeah. I get Yeah. So maybe a feeling now, where you are? Yeah. Okay, so maybe just want to keep talking. Just remember that we're connected. Okay. And you're here with me. Yeah. Yeah. So tell me a little bit more. So your mom came to, to the to the statement? Patient: Oh, yes. So um, so mom was with me. Yeah. They came over. And they were two detectives. Yeah. And they, yeah, they just wanted to know everything and it took like hours. \n Therapist's Utterance: And how are you feeling now after you've done it all?"," "," "," "
ps,Give Solution,"The therapist provides direct solutions to address the patient's issues, actively engaging in problem-solving.","Context: Patient: Right. Therapist: Okay. Well, very good. Is there anything else that you think would be important for me to know?  Patient: How would you advise me to like get maybe my friends to stop drinking? \n Therapist's Utterance: Oh, that's a great question. So a lot of times, kids who are trying to cut back it's harder if their friends are still drinking. And one of the easiest things is trying to have more activities that don't involve alcohol. But of course, that's harder if you're not doing planning. So some of the things that can be useful if you're at a party say, and there's already alcohol there, and there are other kids that maybe aren't your closest friends. Some of the things that I would recommend, since you're interested Are you know, carrying around Different drink that looks like it has alcohol in it. So, you know, even carrying an empty beer bottle or beer can or, you know, if people are having a mixed drink, just having the coke, say without any alcohol mixed into it. Often having anything in your hand is a good barrier for people who are trying to offer you alcohol because you already have something. It kind of prevents them from trying to stuff something else in there. Do you think any of those things might work for you?","Context: Patient: Uh huh. Therapist: So there's some disadvantages to this plan, but there's some advantages. And there's a key advantage of being think of narrow. Patient: Yeah. And it wouldn't necessarily have to be the rest of my life either. Just for now, just to get me out of that apartment with the Drug. Right ? \n Therapist's Utterance: That would separate you from the drug and you could potentially move out later on"," "," "," "
p,Planning with the Patient,The therapist collaborates with the patient to develop a concrete plan of action.,"Context:Maybe like 15 minutes, Therapist: no compromises. 15 Okay, do you think you could maintain 15 minutes weighing 15?  Patient: I think I could try a little bit more than 20. \n Therapist's Utterance: All right, so let's go with 15 minutes, right. So 15 minutes, you know, as compared to 10. I'll give you five extra minutes that something could happen that could distract you. And you wouldn't use that instance, right. There's also, you know, to constructively use that time, you could consider alternatives like like you mentioned walking right. You could use that time and start walking. Yeah. Anything else that that you like, maybe in the past on occasion when you want to use marijuana, but she didn't have anything available? What would you do instead? ","Context: Patient: I think I need to Yeah. Therapist: So I'd like to do in the beginning, is kind of set a plan for our meeting today, okay. And we can move off that plant if we need to, but I just like to start with that, and give us some structure to what we'll be doing. So, first, and this is something I want to co create with you, right? So your input is extremely valuable to it. I don't want to just lay it out and we follow it. I want you to be an active part of putting this together. So as I throw out some ideas, let me know if it's something that makes sense to you or doesn't. Okay? I'd like to start by having you explain in depth kind of what you're going through at work. I know it's troubling you and I want to hear that story. Then you're going to look for some patterns in the way you're thinking And see if there's something that I recognized all that something I can point out, that may help you a bit. And we'll get more to that later. And then to kind of as we wrap up with towards the end, maybe start getting some ideas of things you can do between sessions between now and we'll see you next time that can help combat these symptoms make you feel better. Okay. Does that seem like a fairly straightforward agenda? Any changes or anything you'd like to make to that? Patient: No, I think as long as you think I can tell my whole story in enough time \n Therapist's Utterance: We'll see. Okay. So, you know, you just kind of tell me what's going on as you feel comfortable. And don't worry about the agenda. Okay. Just know that overall, that's kind of what I'm thinking about for the structure. Okay. And then You know, as we as we wrap up, we'll set to make an appointment next time and, and like I said, we'll end up with some ideas, I hope they can help you. So let's get started with kind of, you know, your experience with all this. So tell me about your, your job."," "," "," "
n,Experience Normalization and Reassurance,"Therapist reassures the patient by normalizing their experience, highlighting that others have faced similar situations, fostering a sense of commonality and reassurance.","Context: Therapist: don't might as well just just continue drinking now, because you kind of blew it. Patient: I already messed up, I might as well keep going.  Therapist: Okay. \n Therapist's Utterance: And that's a common cycle to fall into.","Context: Patient: Um, no. it all seems fine with me. Yeah.  Therapist: Yeah. Okay. So if you wouldn't mind just popping your signature at the bottom there. Thanks. Patient: I haven't, I'm feeling a little nervous. \n Therapist's Utterance: Yeah, I can understand that it can be a bit confronting and scary The first time you come along. Yeah. "," "," "," "
g,Medical Education and Guidance,The therapist provides the patient with relevant psychological or medical information to enhance understanding and aid in treatment.,"Context: Patient: Yeah. Therapist: Okay, interesting. So do you know all the bad stuff about alcohol? Patient: Oh, yeah. Yeah. \n Therapist's Utterance: Okay. So one of the things that you know, is really important to talk to teenagers about is drinking and driving. So you know, that's actually a really big problem. And even around here we have kids die every year from getting in a drunk driving accident. So that's something that you really need to make sure you're not doing. All right. Have you ever done that? Have you ever  ?","Context: Patient: Umm hmm I have I've not done this before. Therapist: Well, why don't you tell me a little bit about what brings you here today? Patient: I'm not even sure I am I heard about this place and that you work with women who are having trouble with a relationship and are confused. And so I thought I'd give you guys a call. And so I'm, thank you so much for taking the time to see me. \n Therapist's Utterance: So you're, you've heard a little bit about the program here. Would it help if I just explained a little bit about what what my role might be today?"," "," "," "
gt,Greeting or Closing, The therapist initiates or concludes the conversation with a greeting or closing statement.,"Context: \n Therapist's Utterance: Hello Kathy, how are you today? ","Context: Patient: Okay. Therapist: Complete that before we see you next time. Patient: Okay. Thank you, doctor. Thank you for seeing me \n Therapist's Utterance: Okay, see  you next time."," "," "," "
ack,Backchannel,"The therapist acknowledges that they've heard the patient's words by interjecting with a brief response or acknowledgment or repeating exactly what the patient said.","Context: Patient: agonizing I guess that's what I've been doing. I feel like I've just been hoping and wishing and it seems like all my focus is always so when the baby's crying and I'm worrying about him and and and so the baby crying is just it's hard, but but if just now talking about it letting go of worrying about it feels kind of freeing that I could actually think about why the baby's crying as opposed to why why is he not returning my calls? or Why did he give me that look, when I you know, talked about getting a job and things like that it's not so interesting.  Therapist: So you're realizing to how much it really takes to focus attention on on the baby. And to be able to Do it and it's like I it's hard to do both. It's hard to really think about doing both. Patient: I need his help with that. Yeah, I don't need to be worrying about him too. \n Therapist's Utterance: Hmm","Context: Patient: Mm hmm. Therapist: For your your well being and that of your kids ? Patient: I think I'm most afraid. You know that something might happen that will be really crazy and really out of control. And so I've been thinking about what kinds of things I could do if things are crazy and out of control. And I've just thought about maybe talking to somebody or talking to my minister about it was came to my mind because he's somebody who we've talked to before. \n Therapist's Utterance: Okay."," "," "," "
