timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0,0,0,0,0,0,0,0,0,0,0.483,-0.387,0.026,0,0,0.53,0,0,0.09,0.47,1.46,1.05,0.09,0.5,2.56,0.26,1.18,0.58,1.28,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0.492,-0.386,0.03,0,0,0.56,0,0,0.52,0.55,1.72,1.12,0.16,0.34,2.53,0.12,1.04,0.57,1.2,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.37,0.03,0,0,0.58,0,0.03,0.9,0.5,1.92,1.23,0.16,0.18,2.5,0.04,0.92,0.72,1.18,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0.502,-0.348,0.031,0,0,0.62,0,0.06,1.13,0.34,2.06,1.33,0.03,0.23,2.55,0,0.87,0.9,1.24,0
0.16,0,0,0,0,0,0,0,0,0,0,0,0.507,-0.328,0.021,0,0,0.57,0,0.1,1.21,0.31,2.22,1.44,0.03,0.11,2.55,0,0.76,1.17,1.29,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0.503,-0.333,0.035,0,0,1,0,0.19,1.66,0.47,2.37,1.31,0.16,0.33,2.44,0,0.52,0.94,1.17,0
0.24,0,0,0,0,0,0,0,0,0,0,0,0.354,-0.383,0.067,0,0,1.39,0,0.32,1.99,0.7,2.48,1.09,0.21,0.45,2.43,0,0.27,0.78,1.05,0
0.28,0,0,0,0,0,0,0,0,0,0,0,0.353,-0.365,0.056,0,0,1.81,0,0.45,2.3,0.83,2.49,0.88,0.21,0.55,2.5,0,0.09,0.32,0.8,0
0.32,0,0,0,0,0,0,0,0,0,0,0,0.353,-0.343,0.038,0,0,1.7,0,0.43,2.07,0.87,2.36,0.75,0.05,0.33,2.71,0,0.31,0.19,0.73,0
0.36,0,0,0,0,0,0,0,0,0,0,0,0.338,-0.32,0.019,0,0,1.55,0,0.35,1.91,0.85,2.24,0.64,0,0.1,2.76,0,0.59,0,0.66,0
0.4,0,0,0,0,0,0,0,0,0,0,0,0.342,-0.318,0.018,0,0,1.56,0,0.28,1.94,0.75,2.12,0.48,0,0.06,2.85,0.12,0.78,0,0.69,0
0.44,0,0,0,0,0,0,0,0,0,0,0,0.342,-0.294,0.016,0,0,1.51,0,0.27,2.06,0.67,2.03,0.44,0,0.06,2.77,0.26,0.74,0,0.73,0
0.48,0,0,0,0,0,0,0,0,0,0,0,0.339,-0.273,0.018,0,0,1.47,0,0.28,2.25,0.58,1.95,0.42,0,0.06,2.55,0.44,0.55,0,0.8,0
0.52,0,0,0,0,0,0,0,0,0,0,0,0.355,-0.247,0.024,0,0,1.32,0,0.28,2.22,0.53,1.83,0.41,0,0,2.23,0.59,0.39,0.09,1.06,0
0.56,0,0,0,0,0,0,0,0,0,0,0,0.376,-0.228,0.03,0,0,1.25,0,0.28,2.41,0.44,1.67,0.37,0,0,1.98,0.68,0.3,0.09,1.18,0
0.6,0,0,0,0,0,0,0,0,0,0,0,0.36,-0.216,0.027,0,0,1.19,0,0.24,2.54,0.37,1.46,0.33,0,0,1.89,0.74,0.32,0.09,1.25,0
0.64,0,0,0,0,0,0,0,0,0,0,0,0.361,-0.216,0.028,0,0,1.18,0,0.24,2.75,0.37,1.26,0.35,0,0,2.03,0.54,0.48,0,0.9,0
0.68,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.201,0.024,0,0,1.15,0,0.24,2.6,0.33,1.04,0.36,0,0.12,2.19,0.5,0.6,0,0.77,0
0.72,0,0,0,0,0,0,0,0,0,0,0,0.371,-0.186,0.026,0,0,1.28,0,0.25,2.63,0.23,0.97,0.38,0,0.12,2.2,0.26,0.57,0.1,1.26,0
0.76,0,0,0,0,0,0,0,0,0,0,0,0.391,-0.182,0.039,0,0,1.39,0,0.26,2.69,0.1,0.98,0.43,0,0.12,2.13,0.2,0.33,0.15,1.85,0
0.8,0,0,0,0,0,0,0,0,0,0,0,0.39,-0.179,0.05,0,0,1.54,0,0.28,2.79,0.02,0.96,0.5,0,0,2.07,0.1,0.25,0.15,2.03,0
0.84,0,0,0,0,0,0,0,0,0,0,0,0.352,-0.173,0.051,0,0,1.51,0,0.28,2.81,0.02,0.81,0.58,0,0,2.25,0.25,0.34,0.05,1.71,0
0.88,0,0,0,0,0,0,0,0,0,0,0,0.357,-0.174,0.054,0,0,1.45,0,0.22,2.64,0.03,0.54,0.65,0,0,2.3,0.51,0.49,0.04,1.38,0
0.92,0,0,0,0,0,0,0,0,0,0,0,0.337,-0.171,0.052,0,0,1.36,0,0.19,2.49,0.03,0.3,0.74,0,0,2.43,0.97,0.42,0.33,1.48,0
0.96,0,0,0,0,0,0,0,0,0,0,0,0.326,-0.159,0.05,0,0,1.25,0,0.18,2.18,0.1,0.07,0.82,0.06,0,2.26,1.44,0.33,1.12,1.23,0
1,0,0,0,0,0,0,0,0,0,0,0,0.311,-0.165,0.05,0,0,1.31,0,0.18,2.08,0.21,0,0.84,0.11,0,2.12,1.87,0.17,1.95,1.15,0
1.04,0,0,0,0,0,0,0,0,0,0,0,0.294,-0.168,0.051,0,0,1.36,0,0.09,1.73,0.21,0,0.8,0.11,0,1.94,1.7,0.08,2.2,1.42,0.11
1.08,0,0,0,0,0,0,0,0,0,0,0,0.284,-0.165,0.047,0,0,1.44,0,0.04,1.46,0.14,0.03,0.74,0.05,0,1.99,1.55,0,1.9,1.88,0.25
1.12,0,0,0,0,0,0,0,0,0,0,0,0.284,-0.163,0.048,0,0,1.48,0,0.09,1.2,0.02,0.14,0.64,0,0,1.87,1.28,0,1.82,2.73,0.37
1.16,0,0,0,0,0,0,0,0,0,0,0,0.279,-0.163,0.043,0,0,1.58,0,0.17,1.49,0.08,0.32,0.62,0,0,1.66,1.31,0,1.99,2.8,0.35
1.2,0,0,0,0,0,0,0,0,0,0,0,0.273,-0.152,0.037,0,0,1.54,0,0.19,1.82,0.13,0.29,0.77,0,0,1.9,1.62,0,2.01,2.35,0.33
1.24,0,0,0,0,0,0,0,0,0,0,0,0.239,-0.143,0.025,0,0,1.42,0,0.1,1.92,0.24,0.18,0.89,0,0,2.22,1.91,0,2.01,1.41,0.27
1.28,0,0,0,0,0,0,0,0,0,0,0,0.234,-0.137,0.015,0,0,1.34,0,0.06,1.76,0.18,0,0.86,0,0,2.54,2.33,0,2.32,1.89,0.26
1.32,0,0,0,0,0,0,0,0,0,0,0,0.271,-0.141,0.005,0,0,1.49,0,0.11,1.61,0.11,0,0.68,0,0,2.45,2.12,0,2.62,2.8,0.24
1.36,0,0,0,0,0,0,0,0,0,0,0,0.266,-0.14,0,0,0,1.56,0,0.19,1.69,0,0,0.55,0,0,2.31,1.74,0,2.61,3.82,0.26
1.4,0,0,0,0,0,0,0,0,0,0,0,0.271,-0.136,-0.011,0,0,1.53,0,0.17,1.81,0,0,0.64,0,0,2.33,1.28,0,2.04,3.32,0.23
1.44,0,0,0,0,0,0,0,0,0,0,0,0.23,-0.141,-0.017,0,0,1.33,0,0.1,1.79,0.12,0.19,0.54,0.12,0.06,1.5,0.71,0,1.23,2.07,0.16
1.48,0,0,0,0,0,0,0,0,0,0,0,0.238,-0.155,-0.03,0,0,1.2,0,0.02,1.65,0.41,0.35,0.48,0.12,0.06,0.79,0.39,0,0.44,0.83,0.07
1.52,0,0,0,0,0,0,0,0,0,0,0,0.245,-0.183,-0.039,0,0,1.2,0,0,1.45,0.69,0.43,0.31,0.12,0.06,0,0,0,0.16,0,0
1.56,0,0,0,0,0,0,0,0,0,0,0,0.26,-0.21,-0.046,0,0,1.2,0,0,1.32,0.87,0.33,0.3,0,0,0,0,0,0.32,0,0
1.6,0,0,0,0,0,0,0,0,0,0,0,0.257,-0.215,-0.044,0,0,1.25,0,0,1.24,0.84,0.35,0.22,0,0,0,0,0,0.63,0,0
1.64,0,0,0,0,0,0,0,0,0,0,0,0.265,-0.228,-0.056,0,0,1.2,0,0,1.18,0.83,0.4,0.15,0,0,0,0,0,0.77,0,0
1.68,0,0,0,0,0,0,0,0,0,0,0,0.266,-0.252,-0.058,0,0,1.27,0,0,1.18,0.74,0.41,0.07,0,0,0,0,0,0.96,0,0
