Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
HeadAt-null,0,Dom,Lstn,-0.1335,26,53,0.15384615384615385,0.49056603773584906,1.2192008879023308,1.17313171159325
HeadTiltL-null,0,Dom,Lstn,-0.1335,7,12,0.04142011834319527,0.5833333333333334,1.4497549019607845,1.4343195266272188
HeadDownN-null,0,Dom,Lstn,-0.1335,22,58,0.1301775147928994,0.3793103448275862,0.9426977687626774,0.9628533859303089
HeadDownL-null,0,Dom,Lstn,-0.1335,25,52,0.14792899408284024,0.4807692307692308,1.1948529411764706,1.150997150997151
HeadUpL-null,0,Dom,Lstn,-0.1335,8,18,0.047337278106508875,0.4444444444444444,1.1045751633986927,1.075739644970414
HeadNodNY-null,0,Dom,Lstn,-0.1335,8,15,0.047337278106508875,0.5333333333333333,1.3254901960784313,1.2806424344885883
HeadNodNN-null,0,Dom,Lstn,-0.1335,17,41,0.10059171597633136,0.4146341463414634,1.0304878048780488,1.020956607495069
HeadNodLN-null,0,Dom,Lstn,-0.1335,13,37,0.07692307692307693,0.35135135135135137,0.8732114467408586,0.9213510848126232
BodyStraight-null,0,Dom,Lstn,-0.1335,6,17,0.03550295857988166,0.35294117647058826,0.8771626297577855,0.9236148466917697
BodyLeanN-null,0,Dom,Lstn,-0.1335,7,13,0.04142011834319527,0.5384615384615384,1.338235294117647,1.2948717948717947
SmileH-null,0,Dom,Lstn,-0.1335,8,21,0.047337278106508875,0.38095238095238093,0.9467787114845938,0.9654073736913973
SmileN-null,0,Dom,Lstn,-0.1335,16,35,0.09467455621301775,0.45714285714285713,1.1361344537815126,1.1009031454375582
SmileL-null,0,Dom,Lstn,-0.1335,6,19,0.03550295857988166,0.3157894736842105,0.7848297213622291,0.8734638142922165
GestObjectManipulation-null,0,Dom,Lstn,-0.1335,11,32,0.0650887573964497,0.34375,0.8543198529411765,0.9106790645252183
GestAdaptorArms-null,0,Dom,Lstn,-0.1335,10,26,0.05917159763313609,0.38461538461538464,0.9558823529411765,0.971153846153846
RestArmsCrossed-null,0,Dom,Lstn,-0.1335,11,26,0.0650887573964497,0.4230769230769231,1.0514705882352942,1.035897435897436
RestHandsTogether-null,0,Dom,Lstn,-0.1335,8,18,0.047337278106508875,0.4444444444444444,1.1045751633986927,1.075739644970414
RestUnder-null,0,Dom,Lstn,-0.1335,6,15,0.03550295857988166,0.4,0.9941176470588236,0.9960552268244576
HeadDownN-HeadAt-null,0,Dom,Lstn,-0.1335,7,15,0.04142011834319527,0.4666666666666667,1.1598039215686275,1.1205621301775146
