Sequence;Cluster;Dimension;Turn;Value;nBeforeCluster;nAllSegments;Support;Confidence;Lift;Conviction
HeadNodLY-RestArmsCrossed-null;1;Frd;Lstn;0.0936511627906977;3;3;0.017341040462427744;1.0;5.242424242424243;Infinity
HeadNodLY-GestObjectManipulation-RestArmsCrossed-null;1;Frd;Lstn;0.0936511627906977;3;3;0.017341040462427744;1.0;5.242424242424243;Infinity
HeadTiltL-HeadNodNY-null;1;Frd;Lstn;0.0936511627906977;3;4;0.017341040462427744;0.75;3.931818181818182;3.2369942196531793
HeadNodLY-GestObjectManipulation-null;1;Frd;Lstn;0.0936511627906977;3;4;0.017341040462427744;0.75;3.931818181818182;3.2369942196531793
HeadUpL-HeadDownL-null;1;Frd;Lstn;0.0936511627906977;3;5;0.017341040462427744;0.6;3.1454545454545455;2.0231213872832368
BodyStraight-HeadDownL-null;1;Frd;Lstn;0.0936511627906977;3;5;0.017341040462427744;0.6;3.1454545454545455;2.0231213872832368
HeadNodLN-HeadDownL-null;1;Frd;Lstn;0.0936511627906977;5;9;0.028901734104046242;0.5555555555555556;2.9124579124579126;1.8208092485549134
HeadDownN-HeadDownL-null;1;Frd;Lstn;0.0936511627906977;3;7;0.017341040462427744;0.42857142857142855;2.2467532467532467;1.4161849710982661
HeadUpL-HeadAt-null;1;Frd;Lstn;0.0936511627906977;3;8;0.017341040462427744;0.375;1.965909090909091;1.2947976878612717
GestObjectManipulation-RestArmsCrossed-null;1;Frd;Lstn;0.0936511627906977;3;8;0.017341040462427744;0.375;1.965909090909091;1.2947976878612717
HeadTiltL-null;1;Frd;Lstn;0.0936511627906977;4;12;0.023121387283236993;0.3333333333333333;1.7474747474747474;1.2138728323699421
EyebrowUpN-null;1;Frd;Lstn;0.0936511627906977;4;12;0.023121387283236993;0.3333333333333333;1.7474747474747474;1.2138728323699421
RestArmsCrossed-null;1;Frd;Lstn;0.0936511627906977;7;22;0.04046242774566474;0.3181818181818182;1.6680440771349863;1.186897880539499
HeadDownL-null;1;Frd;Lstn;0.0936511627906977;13;43;0.07514450867052024;0.3023255813953488;1.5849189570119804;1.159922928709056
HeadAt-HeadDownL-null;1;Frd;Lstn;0.0936511627906977;3;11;0.017341040462427744;0.2727272727272727;1.4297520661157024;1.1127167630057804
HeadUpL-null;1;Frd;Lstn;0.0936511627906977;4;15;0.023121387283236993;0.26666666666666666;1.397979797979798;1.1035207566999474
HeadNodLY-null;1;Frd;Lstn;0.0936511627906977;4;15;0.023121387283236993;0.26666666666666666;1.397979797979798;1.1035207566999474
HeadNodLN-null;1;Frd;Lstn;0.0936511627906977;9;34;0.05202312138728324;0.2647058823529412;1.3877005347593583;1.1005780346820808
BodyStraight-null;1;Frd;Lstn;0.0936511627906977;4;16;0.023121387283236993;0.25;1.3106060606060608;1.0789980732177264
HeadNodNY-null;1;Frd;Lstn;0.0936511627906977;5;21;0.028901734104046242;0.23809523809523808;1.2481962481962483;1.0621387283236996
GestObjectManipulation-null;1;Frd;Lstn;0.0936511627906977;6;31;0.03468208092485549;0.1935483870967742;1.0146627565982405;1.0034682080924857
SmileL-null;1;Frd;Lstn;0.0936511627906977;3;16;0.017341040462427744;0.1875;0.9829545454545455;0.9959982214317475
HeadAt-null;1;Frd;Lstn;0.0936511627906977;8;45;0.046242774566473986;0.17777777777777778;0.931986531986532;0.9842212154350883
HeadDownN-null;1;Frd;Lstn;0.0936511627906977;7;50;0.04046242774566474;0.14;0.733939393939394;0.9409866917596452
HeadNodNN-null;1;Frd;Lstn;0.0936511627906977;4;32;0.023121387283236993;0.125;0.6553030303030304;0.9248554913294799
HeadDownN-HeadNodNN-null;0;Frd;Lstn;-0.1335;6;8;0.03468208092485549;0.75;2.1991525423728815;2.6358381502890174
