timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.121755,-0.02988,-0.99211,-0.07242,-0.070743,-0.994862,0.025,-0.051,5.9,1.3,351.7,-0.032,0.089,-0.119,1.14,2.24,0.65,1.03,0,0,0,0.59,0.75,0.71,0.78,0.85,0,0.02,0.42,1.17,0.01
0.0670000000000002,0.129314,-0.022727,-0.991343,-0.053547,-0.094641,-0.99407,0.038,-0.059,9.8,0.2,352.6,-0.035,0.055,-0.117,1.1,2.27,0.73,1.06,0,0,0,0.53,0.73,0.65,0.68,0.83,0,0,0.5,1.3,0
0.133000000000003,0.128426,-0.018552,-0.991546,-0.054486,-0.093208,-0.994155,0.037,-0.056,9.8,0.2,352.4,-0.035,0.055,-0.118,0.93,2.25,0.73,1.02,0,0,0,0.43,0.74,0.75,0.56,0.98,0,0,0.52,1.55,0
0.200000000000003,0.113891,-0.024406,-0.993193,-0.008675,-0.096517,-0.995293,0.053,-0.061,12.3,-0.9,351.2,-0.046,0.034,-0.114,0.76,2.21,0.57,1.21,0,0,0,0.38,0.75,0.82,0.54,1.03,0,0.07,0.42,1.76,0
0.267000000000003,0.084238,-0.007933,-0.996414,-0.041576,-0.140855,-0.989157,0.021,-0.075,15,-1.9,351.3,-0.049,0.023,-0.107,0.57,2.18,0.37,1.29,0,0,0,0.39,0.75,1,0.53,1,0,0.15,0.25,1.82,0
0.333000000000006,0.099446,-0.032506,-0.994512,-0.042693,-0.154997,-0.986992,0.029,-0.094,16.2,-2.3,351.2,-0.067,0.022,-0.103,0.51,2.14,0.2,1.36,0,0,0,0.44,0.73,1.17,0.56,0.91,0,0.24,0.08,1.69,0
0.400000000000006,0.098637,-0.033409,-0.994563,-0.04317,-0.157071,-0.986643,0.028,-0.096,16.2,-2.3,351.2,-0.069,0.022,-0.102,0.65,2.16,0.17,1.42,0,0,0,0.38,0.63,1.29,0.63,0.99,0,0.29,0,1.53,0
0.467000000000006,0.117302,-0.045924,-0.992034,-0.026627,-0.16962,-0.98515,0.046,-0.109,17.2,-3,351,-0.09,0.021,-0.099,0.66,2.17,0.19,1.54,0,0,0,0.34,0.65,1.19,0.64,1.04,0,0.33,0,1.34,0
0.533000000000001,0.08216,-0.021439,-0.996389,0.000217,-0.158727,-0.987322,0.042,-0.091,19,-4.2,352.4,-0.108,0.017,-0.09,0.68,2.21,0.24,1.68,0,0,0,0.31,0.64,1.19,0.68,1.1,0,0.37,0,1.15,0
0.600000000000001,0.081895,-0.019608,-0.996448,0.003601,-0.154471,-0.987991,0.043,-0.087,19.1,-4.2,352.7,-0.106,0.017,-0.089,0.59,2.17,0.32,1.52,0,0,0,0.37,0.74,1.12,0.66,1.04,0,0.26,0,0.97,0
0.667000000000002,0.06859,-0.010862,-0.997586,-0.016039,-0.166989,-0.985828,0.026,-0.089,19.3,-4.8,352,-0.111,0.018,-0.086,0.63,2.11,0.28,1.49,0,0,0,0.41,0.74,1.09,0.59,0.93,0,0.19,0,0.8,0
0.733000000000004,0.065705,0.014385,-0.997735,-0.082655,0.02493,-0.996266,-0.009,0.02,20.5,-4.5,350.3,-0.098,0.014,-0.08,0.68,2.06,0.24,1.36,0,0,0,0.38,0.64,0.87,0.52,0.85,0,0.06,0,0.63,0
0.800000000000004,0.059759,0.007239,-0.998187,-0.088664,0.01515,-0.995946,-0.014,0.011,21,-5.5,349.9,-0.107,0.02,-0.063,0.74,2.04,0.17,1.48,0,0,0,0.26,0.47,0.72,0.57,0.74,0,0.04,0,0.44,0
0.867000000000004,0.059365,0.01588,-0.99811,-0.092104,0.021738,-0.995512,-0.016,0.019,21.9,-5.4,351.1,-0.111,0.022,-0.041,0.77,2.04,0.14,1.33,0,0,0,0.1,0.31,0.65,0.68,0.74,0,0,0,0.48,0
0.933,0.059679,0.019951,-0.998018,-0.091297,0.024939,-0.995511,-0.016,0.023,22,-5.5,351,-0.107,0.017,-0.036,0.84,2.19,0.08,1.27,0,0,0,0,0.19,0.82,0.81,0.82,0,0,0,0.36,0.63
1,0.063526,0.062503,-0.996021,-0.093467,0.069423,-0.993199,-0.015,0.066,22.1,-5.8,354.3,-0.132,0.025,-0.008,0.91,2.42,0.01,1.23,0,0,0,0,0.1,0.99,0.91,0.82,0,0,0,0.25,1.35
1.067,0.044085,0.031083,-0.998544,-0.117784,0.029319,-0.992606,-0.037,0.03,22.9,-7.9,352.3,-0.176,0.047,0.051,0.97,2.6,0,1.58,0,0,0,0,0.06,1.14,0.97,0.98,0.09,0.03,0,0.06,2.09
1.133,0.043517,0.016575,-0.998915,-0.124621,0.012206,-0.992129,-0.041,0.014,24.1,-10,355.2,-0.194,0.043,0.082,0.96,2.55,0,1.91,0,0,0,0,0.14,1.01,0.95,0.92,0.23,0.06,0,0,2.12
