% 1. Title: Touch Sequences Database
   %
   % 2. Sources:
   %      (a) Creators: F. Boucaud, M. Grimaldi
   %      (b) Donor:
   %      (c) Date: July, 2022
   %
   @RELATION touchsequences
   @ATTRIBUTE totalduration  NUMERIC
   @ATTRIBUTE initialimpactvelocity   NUMERIC
   @ATTRIBUTE meanforce  NUMERIC
   @ATTRIBUTE meanvelocity   NUMERIC
   @ATTRIBUTE tactilecells   string
   @ATTRIBUTE handparts   string
   @ATTRIBUTE class        {Hit,Caress,Tap,Maintained}
   @DATA
1.65727, 0, 0, 0,'Spine1,Spine3,Spine,Spine3','L_index_c,L_index_b,L_pinky_c,L_middle_c,L_middle_b,L_pinky_b,L_index_end,L_pinky_end,L_ring_end,L_middle_end,L_middle_end,L_ring_b,L_ring_c',Hit
0.04218125, 6.159015, 0, 0,'Spine1,Spine,Spine1,Spine3,RightHand','R_ring_c,R_middle_end,R_pinky_c,R_ring_end,R_index_end,R_pinky_end,R_middle_c',Hit
4.48552, 1.83497, 0.452921, 5.647697,'RightArm,Spine1,Spine3,HeadCollider,Spine,Spine4,Spine3,RightForeArm','L_index_c,L_index_b,L_index_a,L_middle_c,L_middle_b,L_index_meta,L_middle_a,L_Wrist,L_pinky_end,L_thumb_a,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_Palm,L_ring_a,L_pinky_c,L_pinky_a,L_pinky_b,L_index_end,L_pinky_meta,L_thumb_meta,L_ring_meta,L_ring_end,L_middle_meta,L_thumb_end',Hit
0.003749847, 7.393944, 0.7140073, 8.022756,'RightArm,Spine1,Spine,Spine1,Spine3,RightForeArm','L_index_b,L_index_a,L_pinky_a,L_index_meta,L_middle_b,L_middle_a,L_pinky_b,L_Wrist,L_pinky_meta,L_thumb_meta,L_ring_meta,L_pinky_a,L_thumb_a,L_middle_meta,L_thumb_b,L_ring_b,L_Palm,L_thumb_end,L_ring_a',Hit
0.001744747, 8.941812, 0, 0,'Spine1,LeftArm,Spine,LeftForeArm,Spine3,LeftArm','R_ring_c,R_ring_b,R_index_c,R_middle_end,R_middle_end,R_pinky_b,R_ring_end,R_pinky_c,R_index_end,R_middle_b,R_middle_c,R_pinky_end',Hit
7.719915, 2.801826, 0, 0,'Spine1,Spine3,Spine,Spine3','R_ring_c,R_index_end,R_pinky_b,R_pinky_c,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_index_b,R_middle_end,R_ring_end,R_index_a,R_index_end,R_thumb_end',Maintained
3.359873, 1.328095, 0, 0,'Spine3,Spine,Spine3','L_index_end,L_pinky_c,L_middle_c,L_ring_end,L_pinky_b,L_index_end,L_middle_end,L_pinky_end,L_ring_c',Maintained
1.109185, 0, 0.8338946, 10.30293,'RightArm,Spine1,LeftArm,Spine3,HeadCollider,RightAr,Spine4,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_index_a,L_middle_c,L_middle_b,L_index_meta,L_middle_a,L_Wrist,L_pinky_end,L_thumb_a,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_Palm,L_ring_a,L_pinky_c,L_pinky_a,L_pinky_b,L_index_end,L_pinky_meta,L_thumb_meta,L_ring_meta,L_ring_end,L_middle_meta,L_thumb_end',Tap
9.437807, 1.488785, 0, 0,'LeftArm,Spine1,Spine3,HeadCollider,Spine,LeftForeArm,Spine4,Spine3','R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_ring_meta,R_middle_c,R_pinky_end,R_pinky_meta,R_index_c,R_index_meta,R_middle_meta,R_index_b,R_index_a,R_thumb_end,R_ring_a,R_ring_c,R_ring_b,R_Wrist,R_index_end,R_thumb_meta,R_Palm,R_middle_end,R_ring_end,R_index_end,R_thumb_b,R_thumb_a',Tap
0.9325051, 0, 0.8037949, 9.151442,'RightArm,Spine1,Spine3,Spine,Spine3,RightForeArm','L_index_c,L_index_b,L_index_a,L_middle_c,L_middle_b,L_index_meta,L_middle_a,L_Wrist,L_pinky_end,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_Palm,L_ring_a,L_pinky_c,L_pinky_a,L_pinky_b,L_index_end,L_pinky_meta,L_ring_meta,L_ring_end,L_middle_meta,L_thumb_end',Tap
0.04382086, 15.23086, 0, 0,'Spine1,LeftArm,Spine3,Spine,Spine3','R_ring_c,R_ring_b,R_pinky_c,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_index_b,R_middle_end,R_middle_end,R_ring_end,R_index_end,R_thumb_end',Tap
1.789222, 0, 0.6879231, 8.586893,'RightArm,Spine1,LeftArm,Spine3,RightAr,Spine4,RightForeArm,Spine3,RightHand','L_index_c,L_index_b,L_pinky_c,L_index_a,L_middle_c,L_middle_b,L_pinky_a,L_index_meta,L_pinky_b,L_middle_a,L_index_end,L_Wrist,L_pinky_meta,L_pinky_end,L_ring_meta,L_ring_end,L_middle_meta,L_middle_end,L_middle_end,L_ring_b,L_ring_c,L_Palm,L_ring_a',Tap
6.438713, 0.9300129, 0, 0,'LeftArm,Spine1,Spine,Spine4,Spine3,LeftArm','R_ring_c,R_ring_b,R_thumb_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_index_b,R_middle_end,R_ring_end,R_index_a,R_thumb_end,R_index_end,R_thumb_b,R_thumb_a,R_ring_a',Tap
0.9884541, 0, 0, 0,'RightArm,Spine1,Spine3,Spine,Spine4,Spine3,RightForeArm','L_index_c,L_index_b,L_pinky_c,L_middle_c,L_pinky_a,L_middle_b,L_pinky_b,L_index_end,L_pinky_end,L_ring_end,L_thumb_a,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_thumb_end,L_ring_c,L_ring_a',Caress
